# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	1407
#@/user_id	c35ff326-3a48-4b0a-bf55-c5625a9363c2
ai 	唉	c=1 d=1 t=55
qiang 	牆	c=1 d=1 t=380
qiang da 	強大	c=0 d=0.1 t=575
qiang da de wen ben 	強大的文本	c=1 d=1 t=576
qiang zhuang 	強壯	c=1 d=1 t=266
qie huan 	切換	c=3 d=0.955997 t=1407
qin zi 	親自	c=1 d=1 t=134
qing 	輕	c=0 d=0.1 t=713
qing chu 	清楚	c=0 d=0.1 t=542
qing hua 	清華	c=2 d=1.27804 t=1231
qing jiao 	青椒	c=1 d=1 t=688
qing kong 	清空	c=0 d=0.1 t=558
qing kong bian ma 	清空編碼	c=1 d=1 t=559
qing se 	情色	c=1 d=1 t=770
qing wen 	請問	c=2 d=1.85214 t=392
qu 	區	c=2 d=1.0542 t=1345
qu 	去	c=9 d=6.35858 t=1407
qu chu 	去除	c=1 d=1 t=237
qu dong 	驅動	c=2 d=1.92312 t=1197
que 	卻	c=2 d=1.25795 t=403
rang wo 	讓我	c=1 d=1 t=698
re dian 	熱點	c=0 d=0.1 t=1280
ren 	人	c=1 d=1 t=71
ren nai 	忍耐	c=1 d=1 t=332
ren ti 	人體	c=2 d=1.97531 t=742
ren wei 	認爲	c=0 d=0.1 t=893
ren wei zi ji 	認爲自己	c=1 d=1 t=180
ren wu lan 	任務欄	c=0 d=0.1 t=90
ren wu lan tu biao 	任務欄圖標	c=1 d=1 t=91
reng 	仍	c=2 d=1.95123 t=263
ri yi 	日益	c=1 d=1 t=278
ri zeng 	日增	c=1 d=1 t=277
rong liang 	容量	c=2 d=1.96561 t=1151
rong yi 	容易	c=1 d=1.07513 t=286
rou ruan 	柔軟	c=1 d=1 t=164
ru 	如	c=2 d=1.81058 t=1270
ru ci 	如此	c=3 d=2.36335 t=302
ru guo 	如果	c=3 d=1.01562 t=1387
ru guo mei you 	如果沒有	c=1 d=1 t=458
ru guo ni 	如果你	c=1 d=1 t=262
ru he 	如何	c=2 d=1.47231 t=1323
ru he chong zhuang 	如何重裝	c=1 d=1 t=783
ru he fen qu 	如何分區	c=1 d=1 t=1065
ru he shi yong 	如何使用	c=1 d=1 t=1306
ru men 	入門	c=1 d=1 t=1308
ru xi 	如昔	c=0 d=0.1 t=139
ru xi er yi 	如昔而已	c=1 d=1 t=140
